subjek,kategori,tabel_ringkas,tabel_lengkap,endpoint
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020","Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2221/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020","Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2220/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020","Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2222/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Kasar (Crude Birth Rate) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020","Angka Kelahiran Kasar (Crude Birth Rate) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2213/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Hasil Long Form SP2020 Menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) dan Provinsi/Kabupaten/Kota, 2020","Angka Kelahiran Hasil Long Form SP2020 Menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) dan Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2215/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Total / Total Fertility Rate (TFR) Hasil Long Form (LF) SP2020 Menurut Provinsi/Kabupaten/Kota, 2020","Angka Kelahiran Total / Total Fertility Rate (TFR) Hasil Long Form (LF) SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2211/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Kepadatan Penduduk menurut Provinsi (jiwa/km2), 2000 - 2021","Kepadatan Penduduk menurut Provinsi (jiwa/km2), 2021",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/141/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Total / Total Fertility Rate (TFR) Menurut Provinsi, 1971-2020","Angka Kelahiran Total / Total Fertility Rate (TFR) Menurut Provinsi, 1971-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2210/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Menurut Provinsi , 1971-2020","Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Menurut Provinsi , 1971-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2216/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,Angka Kelahiran menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) Menurut Provinsi 1971-2020,Angka Kelahiran menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) Menurut Provinsi 1971-2020,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2214/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Kasar (Crude Birth Rate/CBR) Menurut Provinsi, 1990-2020","Angka Kelahiran Kasar (Crude Birth Rate/CBR) Menurut Provinsi, 1990-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2212/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil Sensus Penduduk (SP) dan Survei Penduduk Antar Sensus (SUPAS) menurut Provinsi, 1971 - 2015","Jumlah Penduduk Hasil Sensus Penduduk (SP) dan Survei Penduduk Antar Sensus (SUPAS) menurut Provinsi, 1971 - 2015",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1267/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil Proyeksi Menurut Provinsi dan Jenis Kelamin (Ribu Jiwa), 2015 - 2020","Jumlah Penduduk Hasil Proyeksi Menurut Provinsi dan Jenis Kelamin (Ribu Jiwa), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1886/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,Laporan Survei Demografi dan Kesehatan Indonesia,Laporan Survei Demografi dan Kesehatan Indonesia,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2111/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk Daerah Perkotaan Hasil Proyeksi Penduduk menurut Provinsi, 2015 - 2035","Persentase Penduduk Daerah Perkotaan Hasil Proyeksi Penduduk menurut Provinsi, 2015 - 2035",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1276/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rumah Tangga dan Rata-rata Banyaknya Anggota Rumah Tangga Menurut Provinsi, 2010 - 2019","Rumah Tangga dan Rata-rata Banyaknya Anggota Rumah Tangga Menurut Provinsi, 2019",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2019/id_tabel/bmc3elVuWGROc3JRL3RPQTBrU2dadz09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Dependency Ratio Hasil Proyeksi Penduduk, 2010 - 2035","Dependency Ratio Hasil Proyeksi Penduduk, 2035",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/120/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 Laki-laki Menurut Wilayah, Kelompok Umur (Orang), 2020","Jumlah Penduduk Hasil SP2020 Laki-laki Menurut Wilayah, Kelompok Umur (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2135/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 menurut Wilayah dan Jenis Kelamin (Orang), 2020","Jumlah Penduduk Hasil SP2020 menurut Wilayah dan Jenis Kelamin (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2131/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 Perempuan Menurut Wilayah, Kelompok Umur (Orang), 2020","Jumlah Penduduk Hasil SP2020 Perempuan Menurut Wilayah, Kelompok Umur (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2137/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki+Perempuan (Persen), 2009 - 2015","Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki+Perempuan (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/527/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Perempuan (Persen), 2009 - 2015","Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Perempuan (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/525/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk yang Berpergian dengan Jarak ≥ 100 Km PP menurut Wilayah (Persen), 2016","Persentase Penduduk yang Berpergian dengan Jarak ≥ 100 Km PP menurut Wilayah (Persen), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1819/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi Penduduk 50 Tahun ke Atas (Persen), 2020","Proporsi Penduduk 50 Tahun ke Atas (Persen), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1811/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk Berumur 10 Tahun ke Atas menurut Provinsi, Jenis Kelamin, dan Status Perkawinan, 2009-2018","Persentase Penduduk Berumur 10 Tahun ke Atas menurut Provinsi, Jenis Kelamin, dan Status Perkawinan, 2009-2018",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1602/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Nikah, Talak dan Cerai, serta Rujuk (Pasangan Nikah), 2007 - 2016","Jumlah Nikah, Talak dan Cerai, serta Rujuk (Pasangan Nikah), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/176/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Banyaknya Rumah Tangga (Ribu Rumah Tangga), 2000 - 2016","Banyaknya Rumah Tangga (Ribu Rumah Tangga), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/153/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Distribusi Persentase Penduduk (Persen), 2000 - 2016","Distribusi Persentase Penduduk (Persen), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/136/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rasio Jenis Kelamin, 1971 - 2016","Rasio Jenis Kelamin, 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/143/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rata-rata Banyaknya Anggota Rumah Tangga, 2000 - 2016","Rata-rata Banyaknya Anggota Rumah Tangga, 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/148/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Migrasi Seumur Hidup (Orang), 1971 - 2015","Migrasi Seumur Hidup (Orang), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/156/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Migrasi Risen (Recent Migration) Tahun 1980, 1985, 1990 , 1995, 2000, 2005, 2010, dan 2015","Migrasi Risen (Recent Migration) Tahun 1980, 1985, 1990 , 1995, 2000, 2005, 2010, dan 2015",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1273/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki (Persen), 2009 - 2015","Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/524/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Kepadatan Penduduk Beberapa Negara (penduduk per km2) (jiwa/km2), 2000 - 2016",TIDAK BISA AMBIL DETAIL ATAU ENDPOINT,
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Perkiraan Penduduk Beberapa Negara (Juta Jiwa), 2000 - 2016",TIDAK BISA AMBIL DETAIL ATAU ENDPOINT,
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proyeksi Penduduk menurut provinsi, 2010 - 2035","Proyeksi Penduduk menurut provinsi, 2010 - 2035",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1274/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Bukan Angkatan Kerja (BAK) Menurut Kelompok Umur (Orang), 2025","Bukan Angkatan Kerja (BAK) Menurut Kelompok Umur (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2517/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Angkatan Kerja (AK) Menurut Kelompok Umur, 2025","Angkatan Kerja (AK) Menurut Kelompok Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2516/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Penduduk Usia 15 tahun ke Atas Menurut Provinsi (Orang), 2021 - 2025","Jumlah Penduduk Usia 15 tahun ke Atas Menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2397/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Kelompok Umur (Persen), 2025","Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Kelompok Umur (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2518/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Penduduk Usia 15 tahun ke Atas Menurut Kelompok Umur, 2025","Jumlah Penduduk Usia 15 tahun ke Atas Menurut Kelompok Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2519/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen), 2021 - 2025","Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2396/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Bukan Angkatan Kerja (BAK) menurut Provinsi (Orang), 2025","Bukan Angkatan Kerja (BAK) menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2395/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Angkatan Kerja (AK) menurut Provinsi (Orang), 2025","Angkatan Kerja (AK) menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2394/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jenis Pekerjaan Utama dan Pendidikan Tertinggi yang Ditamatkan (Orang), 2025","Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jenis Pekerjaan Utama dan Pendidikan Tertinggi yang Ditamatkan (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2339/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jumlah Jam Kerja pada Pekerjaan Utama dan Lapangan Pekerjaan Utama (Orang), 2025","Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jumlah Jam Kerja pada Pekerjaan Utama dan Lapangan Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2337/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Status Pekerjaan Utama (Orang), 2021 - 2025","Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Status Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2335/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Lapangan Pekerjaan Utama (Orang), 2021 - 2025","Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Lapangan Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2333/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase anak usia 10-17 tahun yang bekerja menurut provinsi (Persen), 2018 - 2024","Persentase anak usia 10-17 tahun yang bekerja menurut provinsi (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2008/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2011 - 2025","Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1953/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 tahun ke atas menurut jenis kegiatan, 1986 - 2025","Penduduk Berumur 15 tahun ke atas menurut jenis kegiatan, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/529/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Menurut Provinsi (Persen), 1986 - 2025","Tingkat Pengangguran Terbuka Menurut Provinsi (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/543/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin, 2018 - 2024","Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2200/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Golongan Umur dan Jumlah Jam Kerja Seluruhnya, 2008 - 2024","Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Golongan Umur dan Jumlah Jam Kerja Seluruhnya, 2008 - 2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1934/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,Penduduk 15 Tahun Ke Atas Menurut Status Pekerjaan Utama 1986 - 2024,Penduduk 15 Tahun Ke Atas Menurut Status Pekerjaan Utama 1986 - 2024,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/971/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Pencari Kerja Terdaftar, Lowongan Kerja Terdaftar, dan Penempatan/Pemenuhan Tenaga Kerja Menurut Provinsi dan Jenis Kelamin, 2018 - 2024","Pencari Kerja Terdaftar, Lowongan Kerja Terdaftar, dan Penempatan/Pemenuhan Tenaga Kerja Menurut Provinsi dan Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/TE9UUDFUV3Bpa3ovMHJJVGtuUHZVdz09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Tenaga Kerja pada Sektor Industri Manufaktur (Persen), 2015 - 2024","Proporsi Tenaga Kerja pada Sektor Industri Manufaktur (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1217/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Jenis Kelamin (Persen), 2015 - 2024","Tingkat Setengah Pengangguran Menurut Jenis Kelamin (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1183/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Daerah Tempat Tinggal (Persen), 2015 - 2024","Tingkat Setengah Pengangguran Menurut Daerah Tempat Tinggal (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1182/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Kelompok Umur, 2015 - 2024","Tingkat Pengangguran Terbuka Berdasarkan Kelompok Umur, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1180/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan, 2015 - 2024","Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1179/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Daerah Tempat Tinggal, 2015 - 2024","Tingkat Pengangguran Terbuka Berdasarkan Daerah Tempat Tinggal, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1178/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Jenis Kelamin, 2015 - 2024","Tingkat Pengangguran Terbuka Berdasarkan Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1177/key/[WebAPI_KEY]
