subjek,kategori,Judul Tabel,WebAPI URL
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Perempuan (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/525/th/115/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk yang Berpergian dengan Jarak ≥ 100 Km PP menurut Wilayah (Persen), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1819/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi Penduduk 50 Tahun ke Atas (Persen), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1811/th/120/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk Berumur 10 Tahun ke Atas menurut Provinsi, Jenis Kelamin, dan Status Perkawinan, 2009-2018",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1602/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Nikah, Talak dan Cerai, serta Rujuk (Pasangan Nikah), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/176/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Banyaknya Rumah Tangga (Ribu Rumah Tangga), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/153/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Distribusi Persentase Penduduk (Persen), 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/136/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rasio Jenis Kelamin, 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/143/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rata-rata Banyaknya Anggota Rumah Tangga, 2016",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/148/th/116/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Migrasi Seumur Hidup (Orang), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/156/th/115/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Migrasi Risen (Recent Migration) Tahun 1980, 1985, 1990 , 1995, 2000, 2005, 2010, dan 2015",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1273/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/524/th/115/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Kepadatan Penduduk Beberapa Negara (penduduk per km2) (jiwa/km2), 2000 - 2016",GAGAL_MENGAMBIL_DATA
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Perkiraan Penduduk Beberapa Negara (Juta Jiwa), 2000 - 2016",GAGAL_MENGAMBIL_DATA
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proyeksi Penduduk menurut provinsi, 2010 - 2035",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1274/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Penduduk Usia 15 tahun ke Atas Menurut Golongan Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/715/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Golongan Umur (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/714/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Bukan Angkatan Kerja (BAK) Menurut Golongan Umur (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/704/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Angkatan Kerja (AK) Menurut Golongan Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/698/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Bukan Angkatan Kerja (BAK) Menurut Kelompok Umur (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2517/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Angkatan Kerja (AK) Menurut Kelompok Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2516/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Penduduk Usia 15 tahun ke Atas Menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2397/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Kelompok Umur (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2518/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Penduduk Usia 15 tahun ke Atas Menurut Kelompok Umur, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2519/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2396/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Bukan Angkatan Kerja (BAK) menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2395/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Angkatan Kerja (AK) menurut Provinsi (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2394/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jenis Pekerjaan Utama dan Pendidikan Tertinggi yang Ditamatkan (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2339/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Jumlah Jam Kerja pada Pekerjaan Utama dan Lapangan Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2337/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Status Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2335/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Keatas yang Bekerja Selama Seminggu Terakhir Menurut Provinsi dan Lapangan Pekerjaan Utama (Orang), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2333/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase anak usia 10-17 tahun yang bekerja menurut provinsi (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2008/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1953/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 tahun ke atas menurut jenis kegiatan, 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/529/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Menurut Provinsi (Persen), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/543/th/125/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2200/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Golongan Umur dan Jumlah Jam Kerja Seluruhnya, 2008 - 2024",GAGAL_MENGAMBIL_DATA
Statistik Demografi dan Sosial,Tenaga Kerja,Penduduk 15 Tahun Ke Atas Menurut Status Pekerjaan Utama 1986 - 2024,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/971/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Pencari Kerja Terdaftar, Lowongan Kerja Terdaftar, dan Penempatan/Pemenuhan Tenaga Kerja Menurut Provinsi dan Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/TE9UUDFUV3Bpa3ovMHJJVGtuUHZVdz09/wilayah/0000000/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Tenaga Kerja pada Sektor Industri Manufaktur (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1217/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Jenis Kelamin (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1183/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Daerah Tempat Tinggal (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1182/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Kelompok Umur, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1180/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1179/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Daerah Tempat Tinggal, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1178/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Pengangguran Terbuka Berdasarkan Jenis Kelamin, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1177/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Tenaga Kerja Formal Menurut Jenis Kelamin (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1170/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Tenaga Kerja Formal Menurut Provinsi (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1168/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1186/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Kelompok Umur (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1185/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Tingkat Pendidikan (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1184/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Tingkat Setengah Pengangguran Menurut Provinsi (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1181/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Tenaga Kerja Informal Sektor Pertanian (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1171/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Lapangan Kerja Informal Sektor Non-Pertanian Menurut Kelompok Umur, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1165/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Lapangan Kerja Informal Sektor Non-Pertanian Menurut Daerah Tempat Tinggal, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1163/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Lapangan Kerja Informal Sektor Non-Pertanian Menurut Provinsi, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1162/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Proporsi Lapangan Kerja Informal Sektor Non-Pertanian Menurut Tingkat Pendidikan, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1166/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Jumlah Pegawai Perusahaan Air Bersih, 2023",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/325/th/123/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase Tenaga Kerja Formal Menurut Daerah Tempat Tinggal (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1169/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Status Pekerjaan Utama dan Pendidikan Tertinggi yang Ditamatkan (Orang), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1126/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Pengangguran Terbuka Menurut Pendidikan Tertinggi yang Ditamatkan (Orang), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/674/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk 15 Tahun Ke Atas yang Bekerja menurut Lapangan Pekerjaan Utama (Orang), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2479/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Lapangan Pekerjaan Utama (17 Sektor) dan Pendidikan Tertinggi yang Ditamatkan (Orang), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1971/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Golongan Umur dan Jumlah Jam Kerja Seluruhnya (Orang), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1006/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Status Pekerjaan Utama dan Pendidikan Tertinggi yang Ditamatkan, 2008-2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1936/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas Menurut Golongan Umur dan Jenis Kegiatan Selama Seminggu yang Lalu, 2008 - 2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1904/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,Penduduk 15 Tahun Ke Atas yang Bekerja menurut Lapangan Pekerjaan Utama 1986 - 2024,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/970/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,"Penduduk Berumur 15 Tahun Ke Atas Menurut Provinsi dan Jenis Kegiatan Selama Seminggu yang Lalu, 2008 - 2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1907/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Tenaga Kerja,Pengangguran Terbuka Menurut Pendidikan Tertinggi yang Ditamatkan 1986 - 2024,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/972/key/921504506b78d644648e514971ac0d28
